TestID,Timestamp,DataVolume,DataSize_MB,Framework,EncryptionTime_ms,CPU_Overhead_Percent,Memory_Usage_GB,SystemLoad,DataSensitivity,EncryptionAlgorithm
2329,2024-11-05T19:43:38,Large,9790,ATLAS,503,4.93,1.64,21%,High,AES-128-GCM
2330,2024-11-05T19:43:39,Large,8526,ReplicaWatcher,586,5.73,1.86,41%,High,AES-128-GCM
2331,2024-11-05T19:43:40,Large,5377,Kunerva,598,6.68,1.89,50%,High,AES-128-GCM
2332,2024-11-05T19:43:41,Large,9262,kubeFlower,626,6.88,2.99,26%,Low,AES-256-GCM
2333,2024-11-05T19:43:42,VeryLarge,27669,ATLAS,1187,5.4,1.66,56%,Medium,AES-256-GCM
2334,2024-11-05T19:43:43,VeryLarge,29662,ReplicaWatcher,1353,6.12,1.93,38%,Low,AES-256-GCM
2335,2024-11-05T19:43:44,VeryLarge,37151,Kunerva,1487,7.07,2.12,63%,High,AES-128-GCM
2336,2024-11-05T19:43:45,VeryLarge,43967,kubeFlower,1539,6.96,3.13,77%,Medium,ChaCha20-Poly1305
2337,2024-11-05T19:43:46,Small,15,ATLAS,46,4.63,1.46,67%,High,AES-256-GCM
2338,2024-11-05T19:43:47,Small,91,ReplicaWatcher,80,4.92,1.5,72%,High,AES-128-GCM
2339,2024-11-05T19:43:48,Small,26,Kunerva,87,5.97,1.84,25%,Medium,AES-256-GCM
2340,2024-11-05T19:43:49,Small,13,kubeFlower,125,6.2,2.76,32%,Medium,ChaCha20-Poly1305
2341,2024-11-05T19:43:50,Medium,501,ATLAS,160,4.57,1.55,75%,Medium,AES-256-GCM
2342,2024-11-05T19:43:51,Medium,296,ReplicaWatcher,192,5.45,1.69,45%,Medium,AES-128-GCM
2343,2024-11-05T19:43:52,Medium,309,Kunerva,202,6.28,1.93,50%,Medium,ChaCha20-Poly1305
2344,2024-11-05T19:43:53,Medium,203,kubeFlower,265,6.73,2.8,53%,Medium,AES-256-GCM
2345,2024-11-05T19:43:54,Large,5101,ATLAS,486,5.11,1.59,43%,Low,AES-128-GCM
2346,2024-11-05T19:43:55,Large,9721,ReplicaWatcher,575,5.62,1.79,73%,High,AES-128-GCM
2347,2024-11-05T19:43:56,Large,6078,Kunerva,609,6.69,1.97,20%,High,ChaCha20-Poly1305
2348,2024-11-05T19:43:57,Large,7503,kubeFlower,645,6.66,2.86,69%,High,AES-128-GCM
2349,2024-11-05T19:43:58,VeryLarge,34270,ATLAS,1198,5.54,1.63,20%,Low,AES-128-GCM
2350,2024-11-05T19:43:59,VeryLarge,22193,ReplicaWatcher,1347,6.03,1.89,36%,Low,ChaCha20-Poly1305
2351,2024-11-05T19:44:00,VeryLarge,28836,Kunerva,1422,7.07,2.22,69%,Low,AES-128-GCM
2352,2024-11-05T19:44:01,VeryLarge,29423,kubeFlower,1471,6.83,3.08,23%,Low,AES-128-GCM
2353,2024-11-05T19:44:02,Small,83,ATLAS,46,4.39,1.51,28%,Medium,AES-256-GCM
2354,2024-11-05T19:44:03,Small,54,ReplicaWatcher,79,5.27,1.58,42%,High,ChaCha20-Poly1305
2355,2024-11-05T19:44:04,Small,43,Kunerva,92,5.75,1.69,46%,Medium,ChaCha20-Poly1305
2356,2024-11-05T19:44:05,Small,16,kubeFlower,118,6.31,2.8,20%,High,ChaCha20-Poly1305
2357,2024-11-05T19:44:06,Medium,292,ATLAS,150,4.57,1.49,58%,High,ChaCha20-Poly1305
2358,2024-11-05T19:44:07,Medium,253,ReplicaWatcher,192,5.56,1.72,69%,Low,AES-256-GCM
2359,2024-11-05T19:44:08,Medium,747,Kunerva,214,5.84,1.96,69%,Medium,AES-256-GCM
2360,2024-11-05T19:44:09,Medium,750,kubeFlower,274,6.68,2.74,35%,High,AES-256-GCM
2361,2024-11-05T19:44:10,Large,7250,ATLAS,494,5.31,1.58,21%,Medium,ChaCha20-Poly1305
2362,2024-11-05T19:44:11,Large,7610,ReplicaWatcher,555,6.07,1.7,26%,Medium,AES-256-GCM
2363,2024-11-05T19:44:12,Large,2658,Kunerva,604,6.26,1.94,79%,High,AES-128-GCM
2364,2024-11-05T19:44:13,Large,4154,kubeFlower,660,6.88,2.92,67%,Medium,AES-256-GCM
2365,2024-11-05T19:44:14,VeryLarge,36522,ATLAS,1302,5.58,1.7,73%,Low,AES-256-GCM
2366,2024-11-05T19:44:15,VeryLarge,14670,ReplicaWatcher,1381,6.1,1.81,27%,Medium,AES-128-GCM
2367,2024-11-05T19:44:16,VeryLarge,45675,Kunerva,1496,6.57,2.17,44%,High,AES-256-GCM
2368,2024-11-05T19:44:17,VeryLarge,28154,kubeFlower,1537,7.06,3.15,26%,Low,ChaCha20-Poly1305
2369,2024-11-05T19:44:18,Small,64,ATLAS,45,4.58,1.41,67%,High,AES-256-GCM
2370,2024-11-05T19:44:19,Small,50,ReplicaWatcher,75,4.93,1.58,26%,High,AES-128-GCM
2371,2024-11-05T19:44:20,Small,15,Kunerva,91,6.0,1.72,44%,Medium,AES-128-GCM
2372,2024-11-05T19:44:21,Small,55,kubeFlower,118,6.16,2.67,34%,Medium,AES-128-GCM
2373,2024-11-05T19:44:22,Medium,787,ATLAS,155,4.62,1.57,27%,High,ChaCha20-Poly1305
2374,2024-11-05T19:44:23,Medium,209,ReplicaWatcher,202,5.21,1.69,38%,Medium,AES-256-GCM
2375,2024-11-05T19:44:24,Medium,978,Kunerva,203,6.01,1.87,28%,Low,AES-256-GCM
2376,2024-11-05T19:44:25,Medium,339,kubeFlower,279,6.29,2.78,45%,Medium,ChaCha20-Poly1305
2377,2024-11-05T19:44:26,Large,7420,ATLAS,494,5.29,1.52,37%,High,ChaCha20-Poly1305
2378,2024-11-05T19:44:27,Large,7603,ReplicaWatcher,580,5.66,1.83,68%,High,AES-128-GCM
2379,2024-11-05T19:44:28,Large,7387,Kunerva,580,6.44,1.86,54%,Medium,ChaCha20-Poly1305
2380,2024-11-05T19:44:29,Large,3750,kubeFlower,634,6.97,2.84,72%,Medium,ChaCha20-Poly1305
2381,2024-11-05T19:44:30,VeryLarge,49608,ATLAS,1277,5.5,1.63,24%,High,AES-256-GCM
2382,2024-11-05T19:44:31,VeryLarge,15426,ReplicaWatcher,1401,6.3,1.86,60%,Medium,AES-128-GCM
2383,2024-11-05T19:44:32,VeryLarge,29776,Kunerva,1441,6.59,2.22,67%,Medium,AES-256-GCM
2384,2024-11-05T19:44:33,VeryLarge,15728,kubeFlower,1437,7.4,3.06,56%,High,ChaCha20-Poly1305
2385,2024-11-05T19:44:34,Small,53,ATLAS,46,4.39,1.49,21%,Medium,ChaCha20-Poly1305
2386,2024-11-05T19:44:35,Small,61,ReplicaWatcher,78,5.27,1.56,37%,Low,ChaCha20-Poly1305
2387,2024-11-05T19:44:36,Small,69,Kunerva,89,5.81,1.75,27%,Low,AES-128-GCM
2388,2024-11-05T19:44:37,Small,67,kubeFlower,129,6.03,2.62,77%,High,ChaCha20-Poly1305
2389,2024-11-05T19:44:38,Medium,149,ATLAS,149,4.66,1.59,78%,Low,ChaCha20-Poly1305
2390,2024-11-05T19:44:39,Medium,306,ReplicaWatcher,200,5.26,1.69,38%,High,AES-256-GCM
2391,2024-11-05T19:44:40,Medium,872,Kunerva,203,6.29,1.91,58%,Medium,ChaCha20-Poly1305
2392,2024-11-05T19:44:41,Medium,926,kubeFlower,263,6.82,2.81,62%,High,AES-256-GCM
2393,2024-11-05T19:44:42,Large,2414,ATLAS,486,5.04,1.5,73%,Low,AES-256-GCM
2394,2024-11-05T19:44:43,Large,3620,ReplicaWatcher,540,5.81,1.79,72%,Low,AES-128-GCM
2395,2024-11-05T19:44:44,Large,3663,Kunerva,606,6.26,1.9,30%,Low,AES-128-GCM
2396,2024-11-05T19:44:45,Large,2039,kubeFlower,630,7.12,3.05,43%,Low,AES-256-GCM
2397,2024-11-05T19:44:46,VeryLarge,25884,ATLAS,1228,5.51,1.58,67%,Medium,AES-256-GCM
2398,2024-11-05T19:44:47,VeryLarge,49120,ReplicaWatcher,1320,5.97,1.96,26%,Medium,ChaCha20-Poly1305
2399,2024-11-05T19:44:48,VeryLarge,15342,Kunerva,1480,6.82,2.12,47%,Low,AES-256-GCM
2400,2024-11-05T19:44:49,VeryLarge,47973,kubeFlower,1549,7.22,3.21,62%,High,ChaCha20-Poly1305
2401,2024-11-05T19:44:50,Small,54,ATLAS,46,4.41,1.54,23%,High,AES-256-GCM
2402,2024-11-05T19:44:51,Small,87,ReplicaWatcher,75,5.35,1.5,20%,Medium,AES-128-GCM
2403,2024-11-05T19:44:52,Small,52,Kunerva,88,5.86,1.72,22%,High,ChaCha20-Poly1305
2404,2024-11-05T19:44:53,Small,86,kubeFlower,123,6.15,2.63,29%,Low,ChaCha20-Poly1305
2405,2024-11-05T19:44:54,Medium,286,ATLAS,160,4.6,1.6,48%,Low,AES-128-GCM
2406,2024-11-05T19:44:55,Medium,559,ReplicaWatcher,189,5.33,1.62,38%,Medium,ChaCha20-Poly1305
2407,2024-11-05T19:44:56,Medium,447,Kunerva,211,6.3,1.92,75%,High,AES-128-GCM
2408,2024-11-05T19:44:57,Medium,406,kubeFlower,266,6.58,2.9,53%,Medium,AES-128-GCM
2409,2024-11-05T19:44:58,Large,7410,ATLAS,468,5.35,1.58,38%,High,AES-128-GCM
2410,2024-11-05T19:44:59,Large,3661,ReplicaWatcher,586,5.92,1.81,79%,Medium,ChaCha20-Poly1305
2411,2024-11-05T19:45:00,Large,7164,Kunerva,613,6.46,1.95,80%,High,ChaCha20-Poly1305
2412,2024-11-05T19:45:01,Large,4231,kubeFlower,634,7.09,2.89,40%,Medium,AES-256-GCM
2413,2024-11-05T19:45:02,VeryLarge,44759,ATLAS,1194,5.35,1.57,65%,High,ChaCha20-Poly1305
2414,2024-11-05T19:45:03,VeryLarge,38165,ReplicaWatcher,1345,6.35,1.95,58%,High,AES-256-GCM
2415,2024-11-05T19:45:04,VeryLarge,22346,Kunerva,1491,6.72,2.17,68%,Low,ChaCha20-Poly1305
2416,2024-11-05T19:45:05,VeryLarge,33356,kubeFlower,1443,7.35,3.12,62%,Low,AES-256-GCM
2417,2024-11-05T19:45:06,Small,18,ATLAS,47,4.63,1.54,37%,High,AES-128-GCM
2418,2024-11-05T19:45:07,Small,94,ReplicaWatcher,80,5.03,1.52,42%,High,AES-256-GCM
2419,2024-11-05T19:45:08,Small,31,Kunerva,89,6.11,1.8,67%,High,ChaCha20-Poly1305
2420,2024-11-05T19:45:09,Small,12,kubeFlower,126,6.07,2.6,67%,Medium,AES-256-GCM
2421,2024-11-05T19:45:10,Medium,248,ATLAS,155,4.89,1.51,45%,Medium,ChaCha20-Poly1305
2422,2024-11-05T19:45:11,Medium,601,ReplicaWatcher,206,5.38,1.64,75%,Low,AES-256-GCM
2423,2024-11-05T19:45:12,Medium,201,Kunerva,213,5.86,1.86,61%,High,ChaCha20-Poly1305
2424,2024-11-05T19:45:13,Medium,959,kubeFlower,263,6.62,2.85,79%,High,ChaCha20-Poly1305
2425,2024-11-05T19:45:14,Large,4499,ATLAS,483,5.0,1.58,34%,Low,ChaCha20-Poly1305
2426,2024-11-05T19:45:15,Large,9275,ReplicaWatcher,584,6.04,1.71,51%,High,AES-256-GCM
2427,2024-11-05T19:45:16,Large,8706,Kunerva,618,6.5,2.0,50%,High,AES-128-GCM
2428,2024-11-05T19:45:17,Large,5194,kubeFlower,645,6.56,2.97,58%,High,AES-256-GCM
2429,2024-11-05T19:45:18,VeryLarge,30532,ATLAS,1198,5.71,1.64,51%,Medium,ChaCha20-Poly1305
2430,2024-11-05T19:45:19,VeryLarge,35657,ReplicaWatcher,1431,6.27,1.94,62%,Low,ChaCha20-Poly1305
2431,2024-11-05T19:45:20,VeryLarge,19992,Kunerva,1395,6.69,2.12,62%,Low,ChaCha20-Poly1305
2432,2024-11-05T19:45:21,VeryLarge,18818,kubeFlower,1467,6.78,3.25,26%,Medium,AES-128-GCM
2433,2024-11-05T19:45:22,Small,47,ATLAS,43,4.74,1.45,47%,Medium,AES-128-GCM
2434,2024-11-05T19:45:23,Small,51,ReplicaWatcher,80,5.16,1.57,51%,Low,AES-256-GCM
2435,2024-11-05T19:45:24,Small,92,Kunerva,92,5.85,1.81,65%,Low,ChaCha20-Poly1305
2436,2024-11-05T19:45:25,Small,2,kubeFlower,119,6.11,2.62,24%,High,ChaCha20-Poly1305
2437,2024-11-05T19:45:26,Medium,491,ATLAS,153,4.8,1.5,77%,Medium,AES-128-GCM
2438,2024-11-05T19:45:27,Medium,666,ReplicaWatcher,208,5.54,1.62,28%,High,AES-256-GCM
2439,2024-11-05T19:45:28,Medium,217,Kunerva,207,6.23,1.82,67%,Low,ChaCha20-Poly1305
2440,2024-11-05T19:45:29,Medium,452,kubeFlower,262,6.65,2.85,65%,High,ChaCha20-Poly1305
2441,2024-11-05T19:45:30,Large,4597,ATLAS,513,5.34,1.51,65%,Medium,ChaCha20-Poly1305
2442,2024-11-05T19:45:31,Large,9761,ReplicaWatcher,583,5.61,1.71,33%,High,ChaCha20-Poly1305
2443,2024-11-05T19:45:32,Large,2122,Kunerva,588,6.32,2.03,65%,Low,ChaCha20-Poly1305
2444,2024-11-05T19:45:33,Large,4481,kubeFlower,666,6.65,3.01,79%,High,AES-128-GCM
2445,2024-11-05T19:45:34,VeryLarge,47910,ATLAS,1243,5.62,1.72,49%,Medium,AES-256-GCM
2446,2024-11-05T19:45:35,VeryLarge,11081,ReplicaWatcher,1356,6.2,1.86,53%,High,AES-128-GCM
2447,2024-11-05T19:45:36,VeryLarge,10006,Kunerva,1475,6.81,2.2,79%,High,AES-256-GCM
2448,2024-11-05T19:45:37,VeryLarge,46305,kubeFlower,1523,7.35,3.07,52%,High,AES-256-GCM
2449,2024-11-05T19:45:38,Small,21,ATLAS,43,4.47,1.42,58%,Medium,ChaCha20-Poly1305
2450,2024-11-05T19:45:39,Small,78,ReplicaWatcher,76,5.04,1.61,35%,Medium,AES-256-GCM
2451,2024-11-05T19:45:40,Small,51,Kunerva,90,6.16,1.87,66%,Medium,AES-128-GCM
2452,2024-11-05T19:45:41,Small,91,kubeFlower,127,6.14,2.85,29%,Low,AES-128-GCM
2453,2024-11-05T19:45:42,Medium,220,ATLAS,155,4.71,1.45,77%,Medium,ChaCha20-Poly1305
2454,2024-11-05T19:45:43,Medium,258,ReplicaWatcher,201,5.41,1.68,52%,Low,ChaCha20-Poly1305
2455,2024-11-05T19:45:44,Medium,773,Kunerva,202,6.17,1.95,38%,Medium,ChaCha20-Poly1305
2456,2024-11-05T19:45:45,Medium,480,kubeFlower,273,6.67,2.79,62%,Medium,ChaCha20-Poly1305
2457,2024-11-05T19:45:46,Large,7282,ATLAS,488,5.36,1.63,40%,High,AES-256-GCM
2458,2024-11-05T19:45:47,Large,4574,ReplicaWatcher,593,5.91,1.75,23%,Medium,AES-128-GCM
2459,2024-11-05T19:45:48,Large,6720,Kunerva,603,6.76,2.05,73%,Medium,AES-256-GCM
2460,2024-11-05T19:45:49,Large,7382,kubeFlower,643,6.73,2.9,46%,Low,AES-256-GCM
2461,2024-11-05T19:45:50,VeryLarge,10059,ATLAS,1240,5.64,1.69,20%,High,AES-256-GCM
2462,2024-11-05T19:45:51,VeryLarge,19050,ReplicaWatcher,1340,6.07,1.9,51%,Medium,AES-128-GCM
2463,2024-11-05T19:45:52,VeryLarge,32293,Kunerva,1505,6.67,2.07,57%,Low,ChaCha20-Poly1305
2464,2024-11-05T19:45:53,VeryLarge,28302,kubeFlower,1511,7.1,3.05,42%,High,ChaCha20-Poly1305
2465,2024-11-05T19:45:54,Small,39,ATLAS,44,4.7,1.49,20%,High,AES-256-GCM
2466,2024-11-05T19:45:55,Small,66,ReplicaWatcher,75,5.34,1.55,31%,High,ChaCha20-Poly1305
2467,2024-11-05T19:45:56,Small,87,Kunerva,88,5.69,1.86,49%,Medium,AES-256-GCM
2468,2024-11-05T19:45:57,Small,76,kubeFlower,126,6.53,2.73,65%,High,AES-256-GCM
2469,2024-11-05T19:45:58,Medium,837,ATLAS,159,4.81,1.59,52%,Medium,AES-128-GCM
2470,2024-11-05T19:45:59,Medium,375,ReplicaWatcher,201,5.59,1.69,74%,High,AES-128-GCM
2471,2024-11-05T19:46:00,Medium,886,Kunerva,221,5.87,1.94,41%,Low,AES-256-GCM
2472,2024-11-05T19:46:01,Medium,933,kubeFlower,263,6.35,2.87,68%,Medium,ChaCha20-Poly1305
2473,2024-11-05T19:46:02,Large,7282,ATLAS,506,5.25,1.52,38%,Medium,AES-128-GCM
2474,2024-11-05T19:46:03,Large,8646,ReplicaWatcher,581,6.12,1.8,50%,Low,AES-128-GCM
2475,2024-11-05T19:46:04,Large,9335,Kunerva,614,6.65,1.87,21%,Medium,AES-128-GCM
2476,2024-11-05T19:46:05,Large,3614,kubeFlower,674,6.61,3.06,22%,Medium,ChaCha20-Poly1305
2477,2024-11-05T19:46:06,VeryLarge,22439,ATLAS,1245,5.58,1.69,20%,Medium,AES-256-GCM
2478,2024-11-05T19:46:07,VeryLarge,11228,ReplicaWatcher,1448,6.41,1.94,62%,Medium,AES-128-GCM
2479,2024-11-05T19:46:08,VeryLarge,15016,Kunerva,1528,6.72,2.1,51%,Low,AES-128-GCM
2480,2024-11-05T19:46:09,VeryLarge,18443,kubeFlower,1468,7.05,3.22,43%,Medium,AES-256-GCM
2481,2024-11-05T19:46:10,Small,30,ATLAS,43,4.31,1.47,45%,Low,AES-128-GCM
2482,2024-11-05T19:46:11,Small,31,ReplicaWatcher,80,4.92,1.56,36%,Medium,ChaCha20-Poly1305
2483,2024-11-05T19:46:12,Small,10,Kunerva,85,5.96,1.78,27%,High,ChaCha20-Poly1305
2484,2024-11-05T19:46:13,Small,28,kubeFlower,126,6.21,2.61,63%,Low,ChaCha20-Poly1305
2485,2024-11-05T19:46:14,Medium,266,ATLAS,152,4.92,1.52,71%,Low,ChaCha20-Poly1305
2486,2024-11-05T19:46:15,Medium,160,ReplicaWatcher,196,5.47,1.65,39%,Medium,ChaCha20-Poly1305
2487,2024-11-05T19:46:16,Medium,672,Kunerva,218,6.38,1.91,42%,Low,ChaCha20-Poly1305
2488,2024-11-05T19:46:17,Medium,666,kubeFlower,277,6.51,2.86,49%,Medium,ChaCha20-Poly1305
2489,2024-11-05T19:46:18,Large,8579,ATLAS,471,5.37,1.65,60%,High,AES-256-GCM
2490,2024-11-05T19:46:19,Large,2834,ReplicaWatcher,573,6.07,1.75,53%,Medium,AES-128-GCM
2491,2024-11-05T19:46:20,Large,7185,Kunerva,600,6.14,1.98,77%,High,AES-256-GCM
2492,2024-11-05T19:46:21,Large,6045,kubeFlower,681,6.82,3.06,27%,High,ChaCha20-Poly1305
2493,2024-11-05T19:46:22,VeryLarge,30122,ATLAS,1273,5.55,1.63,56%,Low,AES-128-GCM
2494,2024-11-05T19:46:23,VeryLarge,34512,ReplicaWatcher,1438,6.31,1.92,31%,Low,AES-256-GCM
2495,2024-11-05T19:46:24,VeryLarge,16146,Kunerva,1505,6.71,2.16,65%,High,AES-128-GCM
2496,2024-11-05T19:46:25,VeryLarge,31240,kubeFlower,1521,7.09,2.99,57%,Low,ChaCha20-Poly1305
2497,2024-11-05T19:46:26,Small,41,ATLAS,44,4.57,1.51,59%,High,ChaCha20-Poly1305
2498,2024-11-05T19:46:27,Small,51,ReplicaWatcher,76,5.09,1.49,37%,Medium,AES-256-GCM
2499,2024-11-05T19:46:28,Small,18,Kunerva,93,5.71,1.81,62%,Medium,AES-128-GCM
2500,2024-11-05T19:46:29,Small,96,kubeFlower,123,6.44,2.73,54%,High,AES-256-GCM
2501,2024-11-05T19:46:30,Medium,197,ATLAS,159,4.68,1.45,66%,High,AES-256-GCM
2502,2024-11-05T19:46:31,Medium,669,ReplicaWatcher,204,5.64,1.73,57%,High,ChaCha20-Poly1305
2503,2024-11-05T19:46:32,Medium,915,Kunerva,218,6.08,1.98,37%,Low,AES-128-GCM
2504,2024-11-05T19:46:33,Medium,757,kubeFlower,269,6.88,2.76,78%,Low,ChaCha20-Poly1305
2505,2024-11-05T19:46:34,Large,3729,ATLAS,508,4.91,1.52,29%,High,AES-128-GCM
2506,2024-11-05T19:46:35,Large,1637,ReplicaWatcher,565,6.13,1.84,57%,Low,ChaCha20-Poly1305
2507,2024-11-05T19:46:36,Large,1620,Kunerva,599,6.68,2.03,61%,Low,AES-256-GCM
2508,2024-11-05T19:46:37,Large,5712,kubeFlower,636,6.75,3.09,79%,High,ChaCha20-Poly1305
2509,2024-11-05T19:46:38,VeryLarge,49416,ATLAS,1199,5.3,1.6,20%,Medium,AES-256-GCM
2510,2024-11-05T19:46:39,VeryLarge,35294,ReplicaWatcher,1339,6.2,1.8,39%,Low,ChaCha20-Poly1305
2511,2024-11-05T19:46:40,VeryLarge,10488,Kunerva,1449,6.48,2.25,65%,Low,AES-256-GCM
2512,2024-11-05T19:46:41,VeryLarge,25077,kubeFlower,1518,7.12,3.2,71%,High,ChaCha20-Poly1305
2513,2024-11-05T19:46:42,Small,41,ATLAS,46,4.51,1.43,49%,High,ChaCha20-Poly1305
2514,2024-11-05T19:46:43,Small,64,ReplicaWatcher,76,5.25,1.64,71%,Medium,ChaCha20-Poly1305
2515,2024-11-05T19:46:44,Small,37,Kunerva,88,5.75,1.8,70%,Medium,AES-256-GCM
2516,2024-11-05T19:46:45,Small,6,kubeFlower,124,5.97,2.61,78%,High,AES-256-GCM
2517,2024-11-05T19:46:46,Medium,105,ATLAS,154,4.73,1.48,37%,High,AES-256-GCM
2518,2024-11-05T19:46:47,Medium,329,ReplicaWatcher,194,5.55,1.7,29%,High,AES-256-GCM
2519,2024-11-05T19:46:48,Medium,335,Kunerva,216,6.07,1.88,27%,Low,ChaCha20-Poly1305
2520,2024-11-05T19:46:49,Medium,257,kubeFlower,269,6.36,2.99,44%,Low,AES-128-GCM
2521,2024-11-05T19:46:50,Large,2481,ATLAS,465,5.09,1.56,46%,Low,AES-128-GCM
2522,2024-11-05T19:46:51,Large,1065,ReplicaWatcher,562,5.73,1.79,33%,Low,AES-128-GCM
2523,2024-11-05T19:46:52,Large,8872,Kunerva,570,6.56,1.94,61%,High,AES-256-GCM
2524,2024-11-05T19:46:53,Large,6719,kubeFlower,658,6.69,3.08,71%,Medium,AES-128-GCM
2525,2024-11-05T19:46:54,VeryLarge,28207,ATLAS,1275,5.68,1.65,75%,High,ChaCha20-Poly1305
2526,2024-11-05T19:46:55,VeryLarge,33563,ReplicaWatcher,1348,6.02,1.91,68%,Medium,AES-256-GCM
2527,2024-11-05T19:46:56,VeryLarge,38664,Kunerva,1475,6.65,2.19,76%,High,AES-256-GCM
2528,2024-11-05T19:46:57,VeryLarge,23060,kubeFlower,1480,7.08,3.14,68%,High,AES-256-GCM
2529,2024-11-05T19:46:58,Small,37,ATLAS,46,4.43,1.49,67%,Low,AES-256-GCM
2530,2024-11-05T19:46:59,Small,41,ReplicaWatcher,81,4.99,1.61,73%,Low,ChaCha20-Poly1305
2531,2024-11-05T19:47:00,Small,92,Kunerva,86,6.08,1.84,27%,High,AES-128-GCM
2532,2024-11-05T19:47:01,Small,65,kubeFlower,123,6.4,2.66,80%,High,AES-128-GCM
2533,2024-11-05T19:47:02,Medium,891,ATLAS,154,4.76,1.45,56%,Low,AES-128-GCM
2534,2024-11-05T19:47:03,Medium,204,ReplicaWatcher,205,5.54,1.64,79%,Low,ChaCha20-Poly1305
2535,2024-11-05T19:47:04,Medium,953,Kunerva,220,5.97,1.87,27%,Medium,AES-256-GCM
2536,2024-11-05T19:47:05,Medium,243,kubeFlower,280,6.29,2.9,65%,Medium,AES-256-GCM
2537,2024-11-05T19:47:06,Large,4843,ATLAS,500,5.16,1.6,65%,Medium,AES-128-GCM
2538,2024-11-05T19:47:07,Large,1625,ReplicaWatcher,547,5.68,1.77,71%,Low,AES-128-GCM
2539,2024-11-05T19:47:08,Large,4500,Kunerva,570,6.31,1.9,44%,High,AES-256-GCM
2540,2024-11-05T19:47:09,Large,1313,kubeFlower,629,6.99,2.99,37%,Low,AES-256-GCM
2541,2024-11-05T19:47:10,VeryLarge,30063,ATLAS,1234,5.52,1.67,36%,Low,AES-128-GCM
2542,2024-11-05T19:47:11,VeryLarge,24851,ReplicaWatcher,1328,6.49,1.92,65%,Low,ChaCha20-Poly1305
2543,2024-11-05T19:47:12,VeryLarge,32284,Kunerva,1475,6.9,2.19,26%,Low,AES-128-GCM
2544,2024-11-05T19:47:13,VeryLarge,27913,kubeFlower,1546,6.81,3.11,23%,Low,AES-128-GCM
2545,2024-11-05T19:47:14,Small,7,ATLAS,44,4.5,1.41,77%,High,ChaCha20-Poly1305
2546,2024-11-05T19:47:15,Small,67,ReplicaWatcher,75,5.11,1.54,34%,Medium,AES-128-GCM
2547,2024-11-05T19:47:16,Small,2,Kunerva,86,5.88,1.74,33%,High,AES-256-GCM
2548,2024-11-05T19:47:17,Small,11,kubeFlower,121,6.3,2.65,44%,Medium,AES-256-GCM
2549,2024-11-05T19:47:18,Medium,447,ATLAS,153,5.0,1.51,79%,Medium,AES-256-GCM
2550,2024-11-05T19:47:19,Medium,297,ReplicaWatcher,197,5.52,1.68,46%,Low,ChaCha20-Poly1305
2551,2024-11-05T19:47:20,Medium,605,Kunerva,216,6.05,1.89,58%,Low,AES-128-GCM
2552,2024-11-05T19:47:21,Medium,219,kubeFlower,278,6.5,2.91,26%,Low,AES-128-GCM
2553,2024-11-05T19:47:22,Large,7783,ATLAS,498,5.34,1.56,32%,Low,ChaCha20-Poly1305
2554,2024-11-05T19:47:23,Large,4687,ReplicaWatcher,587,6.06,1.84,39%,Medium,AES-256-GCM
2555,2024-11-05T19:47:24,Large,2609,Kunerva,561,6.37,1.87,35%,High,AES-128-GCM
2556,2024-11-05T19:47:25,Large,9159,kubeFlower,658,6.93,2.87,79%,High,ChaCha20-Poly1305
2557,2024-11-05T19:47:26,VeryLarge,23812,ATLAS,1265,5.57,1.65,53%,Medium,ChaCha20-Poly1305
2558,2024-11-05T19:47:27,VeryLarge,14043,ReplicaWatcher,1337,6.33,1.94,53%,High,AES-128-GCM
2559,2024-11-05T19:47:28,VeryLarge,15796,Kunerva,1510,6.77,2.09,52%,High,AES-128-GCM
2560,2024-11-05T19:47:29,VeryLarge,39296,kubeFlower,1450,7.34,3.05,28%,Low,ChaCha20-Poly1305
2561,2024-11-05T19:47:30,Small,15,ATLAS,43,4.6,1.54,37%,Medium,AES-256-GCM
2562,2024-11-05T19:47:31,Small,78,ReplicaWatcher,76,5.0,1.56,56%,Low,ChaCha20-Poly1305
2563,2024-11-05T19:47:32,Small,29,Kunerva,90,5.62,1.74,24%,Medium,ChaCha20-Poly1305
2564,2024-11-05T19:47:33,Small,54,kubeFlower,126,6.06,2.7,32%,High,AES-128-GCM
2565,2024-11-05T19:47:34,Medium,944,ATLAS,163,5.01,1.56,75%,High,AES-256-GCM
2566,2024-11-05T19:47:35,Medium,799,ReplicaWatcher,199,5.4,1.71,33%,Medium,AES-128-GCM
2567,2024-11-05T19:47:36,Medium,500,Kunerva,214,6.32,1.94,38%,Medium,ChaCha20-Poly1305
2568,2024-11-05T19:47:37,Medium,186,kubeFlower,275,6.86,2.82,33%,Low,ChaCha20-Poly1305
2569,2024-11-05T19:47:38,Large,8904,ATLAS,479,5.28,1.56,79%,High,AES-256-GCM
2570,2024-11-05T19:47:39,Large,2396,ReplicaWatcher,568,6.15,1.84,39%,Low,AES-128-GCM
2571,2024-11-05T19:47:40,Large,9358,Kunerva,580,6.7,1.89,56%,Low,ChaCha20-Poly1305
2572,2024-11-05T19:47:41,Large,4647,kubeFlower,633,6.56,2.91,58%,High,AES-128-GCM
2573,2024-11-05T19:47:42,VeryLarge,30232,ATLAS,1223,5.49,1.64,43%,High,ChaCha20-Poly1305
